,0
0,Marraketa Blindada
1,Skep
2,Baby D
3,Busta Rhymes
4,UHT
5,Trilogia
6,Zoxea
7,Killarmy
8,Killah Priest
9,Beat Street
10,Pip Skid
11,Checkmate
12,Deegie
13,Restiform Bodies
14,THC
15,Trurez Crew
16,Miracle
17,Alias
18,Shadow
19,Oomp Camp
20,Shane Capone
21,Madhouse!
22,DJ Hazime
23,Salvador Sanchez
24,Jinx
25,Kid Sensation
26,G&G Sindikatas
27,Mr. Complex
28,ESTILO BAJO
29,La Fabrica
30,Agent Sasco (Assassin)
31,DSGB
32,B.D. Foxmoor
33,Prodigy
34,CAS
35,Sens Unik
36,Bz Jam
37,Filosofia de Rua
38,Memphis Bleek
39,Edo. G
40,First Degree The D.E.
41,Doja Clik
42,8Ball
43,Breezy247
44,Canibus
45,DJ Jazzy Jeff
46,Rasheeda
47,DJ Mahmut
48,Magiera
49,Lumino
50,Tru-Paz
51,Darkroom Familia Present OSO
52,C-Bo
53,X-Raided
54,2 LIVE CREW
55,Rey Pirin
56,ZEEBRA
57,45 King
58,War Party
59,Cool Nutz
60,Nowfolk
61,Mr. Kee
62,Darkroom Familia Presents: Brown Area
63,Otis
64,DJ Bomberjack
65,83
66,Mino
67,Mood Ruff
68,Типичный Ритм
69,Fugees
70,Def Räädu
71,Южный централ
72,Sphaeren
73,Backbone
74,Immortal Lowlife
75,Dobleache
76,Unlogic Skill
77,Fjärde Världen
78,Caballeros Del Plan G
79,Tech N9ne
80,Eric IQ & the Prophets Empire
81,Artfull Dodgers
82,Yener
83,N.O.R.E.
84,La Brigade
85,Khujo Goodie
86,Indy
87,Tystion
88,Disflex6
89,Q Bosilini
90,Gravediggaz
91,Moka Only
92,Point Blank
93,John Smith
94,P.B.C. Proud By Choice
95,Deep Dickollective
96,Freak Nasty
97,Grand Puba
98,Pipi Skid
99,Lost Boyz
100,Richie Rich
101,E.G.G.MAN
102,Mr Del
103,Vate
104,Jelleestone
105,Queen Boyz
106,Llwybr Llaethog
107,Petey Pablo
108,1200 Techniques
109,Kamikaze AKA Mr. Franklin
110,Rex Smallboy
111,Sage Francis
112,MV Bill
113,Haystak
114,Nonamerz
115,Ampichino
116,Governor Bolts
117,The Gumshoe Strut
118,Musab
119,Joosuc
120,Too $hort
121,K-Drama
122,paar@ohrä
123,Astro'n'out
124,Pariente
125,Honey Family
126,LEWO
127,Mnogotochie
128,Redd Eyezz
129,Kardinal Offishall
130,Jel
131,P-Folks
132,Clan Urbano
133,Brassmunk
134,DarkRoom Familia
135,Hip-Hop Wieners
136,Gorilla Pits
137,Resin Dogs
138,Ishkan
139,Slm52
140,Lyrikal
141,Poverty
142,Remy Johnson
143,E-40
144,P Squad
145,Fresh Kid Ice
146,Мальчишник
147,Ugly Leaders
148,Potencial 3
149,Binary Star
150,Passage
151,Kritical Distrezz
152,Crown City Rockers
153,Rappagariya
154,Afu-Ra
155,MC Sniper
156,Sammy Sam
157,Orko Eloheim
158,Czheck
159,Солдаты Бетонной Лирики
160,Quanie Cash
161,D.J. Pinky
162,Luniz
163,Slug
164,Dosia Demon
165,Louis Logic
166,Mr Mack
167,Triple Beam
168,E.Bros
169,PMula
170,Animal Cannibals
171,Hi-Tek
172,The Herd
173,Moodphase5ive
174,Daddy Freddy
175,Dru Down
176,Голос Донбасса
177,Kunga 219
178,Drag-On
179,Sir Dyno
180,Etsi De
181,Cali Agents
182,Attic Crew
183,Kool Savas
184,Fig Naytion
185,South Park Mexican
186,Young Lo - Carlos Warren
187,Solomon & Socalled
188,Deeskee
189,Sadat X
190,KRS-One
191,Piccalo
192,Дымовая Завеса
193,Young Droop
194,Drüklang
195,Fat Joe
196,Dany Dan
197,Timbuktu
198,Skwatta kamp
199,The Roots
200,L'Assemblée
201,Big Black Boots
202,Evren
203,Offwhyte
204,Thaíde
205,Black Noise
206,Field Mob
207,Zion I
208,2nd Family
209,Moves & Birdapres
210,J-Live
211,Контра Да Банда
212,CMCB樂隊
213,Mo'vez Lang
214,Rollin' Fox
215,Bossman
216,Moochie Mack
217,Iwa K
218,Poison Clan
219,Salaam Remi
220,Mc Mabon
221,Free Radicals
222,Red Warszawa
223,Shabaam Sahdeeq
224,Жорик
225,Buc Fifty
226,Soul-Junk
227,Epic
228,K.I.D. of Darkroom Familia
229,Pettidee
230,UMA
231,Noah23
232,Etan G
233,Sunspot Jonz
234,Micro
235,Dan-e-o
236,КИРПИЧИ
237,Shut Up and Dance
238,Белые Братья
239,Fabolous
240,Белый Шоколад
241,Cavemen Speak
242,Ghetto Concept
243,LUZER
244,GOG
245,Rusty Ps
246,Poetic Ammo
247,Flaco
248,Drama
249,Queen Pen
250,Nature
251,Arianna Puello
252,Sensational
253,Greenhouse Effect
254,BB Clan
255,Dyablo
256,Pluside
257,Mr. Sche
258,Familia HP
259,Petri Nygård
260,Scarub
261,Skanless
262,T-Bone
263,Mousie
264,RM
265,Instituto
266,Keak Da Sneak
267,Apathy
268,Juan Gotti
269,Tippa Irie
270,DJ Clue
271,Bounty Killer
272,Teejay
273,Rubberoom
274,Aphrodelics
275,Askari X
276,Gagan
277,Christian
278,Braille
279,Ja Rule
280,Limoilou Starz
281,Phoenix Orion
282,JT Money
283,Kalash
284,Noizmakaz
285,Don Pini
286,Jay Tee
287,DJ 13
288,L'Skadrille
289,Makale
290,DJ Glock
291,C-Dubb
292,Darkroom Familia Present: A.L.G.
293,Thaione Davis
294,Reefa
295,DJ Supreme
296,Городская тоска
