,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
0,Sammy Sam,3dBEjkenio5q7TwyobcXKx,hip-hop,track,I'm That Type Of Nigga,2000,4OWwxqylVwcpCn52SYKvCq
1,Apathy,6fK2hnSgfRPxR6sL975XQS,hip-hop,track,Chrome Depot Freestyle (feat. Celph Titled) [Acapella],2000,302aZCCoj2DLW5raahKNx3
2,2 LIVE CREW,58Dx4HPzeOO3dbpD9YYEes,hip-hop,track,Drop Your Draws,2000,6UpsGIHz0qMl7HTGT3NP1D
3,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,Head Up,2000,0bp0BZd5R3PxrtNXk2rpKd
4,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,Like This,2000,3ymwOOZWzAp4g1h9m41haG
5,Filosofia de Rua,7rwCXuDiu5DR1oLOmTBOLz,hip-hop,track,A Banca É Nossa - Acapella,2000,5els6LpnH94Xu80GHu3MFb
6,DarkRoom Familia,6DWXsR13uzUNpt9xF53UN7,hip-hop,track,Murder Night,2000,3XV69f4YosWj1nrO4GVVF1
7,Breezy247,0KXUcibF9niMXLzyMU020c,hip-hop,track,Today,2000,0grBKUlX8s2AUtF3VZUP5O
8,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,Be Something,2000,3BvYt98I13DgvSQ6nMsLq3
9,Mood Ruff,0KnmEFm5OowhdILmt1Cp9l,hip-hop,track,Aesthetics,2000,3MjW1NLLP6kkkEAX6nuGhq
10,Young Lo - Carlos Warren,5MCBSHE6AarjvQwi3brzfJ,hip-hop,track,Da God,2000,5DEFHG9HtjtBCuT5fNo7Vl
11,Dan-e-o,5odWxeNvjPNRoL07Rv9wk6,hip-hop,track,"I.P.B. (feat. Irs, Spidahman & Grimace Love)",2000,0USaiVTbPJVHHxZq6Wu6E2
12,Free Radicals,7sAhxNSWgRi4jjdkZsz8by,hip-hop,track,Ocho,2000,115HWxE2I2m5Y765K5cITk
13,Cali Agents,5lUJxGxTTkeRC5xAouxIe4,hip-hop,track,Talking Smack,2000,5se9SqbnrThCXROTgXwoAG
