,0
0,Dharampreet
1,Lâm Nhật Tiến
2,Satellites LV
3,Abida Parveen
4,Allen Clapp
5,Excesso
6,Jitka Zelenková
7,Prakash Rawat
8,Claude Gray
9,Nick Piunti
10,Cheb Rayan
11,TCR
12,Pepe Mairena
13,Zemlyane
14,Sofia Vicoveanca
15,Eric Noltkamper
16,Rahman Asadollahi
17,Hương Lan
18,Phương Dung
19,Pitsa Papadopoulou
20,Mộng Thi
21,Boyracer
22,Animal Cannibals
23,Sabina Yasmin
24,Kai Winding
25,Marc Almond
26,Gustav Winckler
27,Erik Paaske
28,Javed Ali
29,Valadis
30,Lee Sun Hee
31,El Niño Gusano
32,Nihal Nelson
33,Sardool Sikander
34,Hassan El Asmar
35,George Morgan
36,Virgis Stakėnas
37,DM3
38,Tamara Gverdtsiteli
39,Big Al and the Heavyweights
40,Wanderlust
41,Shang Guan Ping
42,Thanh Lan
43,Sabar Koti
44,ธรรพ์ณธร
45,One Ring Zero
46,Nelson Henriquez
47,Hợp Ca
48,Los Xey
49,GLASHAUS
50,Tip y Top
51,Toni Iordache
52,Gérard Blanchard
53,Natikaji
54,Don Elliott
55,Philippe Lavil
56,Stephen Tudu
57,Ahmed Hassan
58,Boris Novković
59,Doğuş
60,bRUNA
61,Leroy Anderson
62,Stamatis Kokotas
63,Nelson Angelo
64,Madan Dipbim
65,Thanh Tuyền
66,Juan Vicente Torrealba
67,Sauter-Finegan Orchestra
68,Pholhas
69,Diana
70,Mazā Ģilde
71,Oto Pestner
72,G.G. Shinn
73,Billy Vaughn
74,Thanh Trúc
75,Nino Xypolitas
76,Aziz Mian
77,Sanjay Londhe
78,Jose Valero
79,MAN-GO
80,PRO BRASS
81,Ami Aspelund
82,Toralf Tollefsen
83,Sofia Vossou
84,Milénio
85,Harbhajan Mann
86,The Silos
87,Sten & Stanley
88,Marty Paich
89,Suriya Soomro
90,X-Quisite
91,Ali Kocatepe
92,Bay City Rollers
93,EDX
94,Santo & Johnny
95,新乐尘符
96,Tapani Kansa
97,Ebiet G. Ade
98,Earl Bostic
99,Stanislav Procházka ml.
100,Raquel Rastenni
101,Niños Mutantes
102,Mahesh Ranjan Shome
103,Deepak Kharel
104,Luciano Rossi
105,Rasoa Kininike
106,Džo Maračić Maki
107,Cristian Fernandes
108,Broa de Mel
109,Mat Ngoc
110,Karnail Rana
111,Nilla Pizzi
112,Sexy Sadie
113,Claudio Villa
114,Giorgio Gaber
115,Zoran Vanev
116,Neal Hefti
117,day after tomorrow
118,Feroz Khan
119,Eleni Vitali
120,Umberto Bindi
121,Say Mohammad Safaei
122,Andrew Kishore
123,Parrita
124,Los Chavis
125,Nadila
126,Frances Yip
127,Hrvoje Hegedusic
128,Romantici Vagabondi
129,Mahesh Kumar
130,Grupa 777
131,Lefty Frizzell
132,Kleiton & Kledir
133,Lệ Thu
134,Jaswinder Brar
135,Ted Heath
136,Greta y los Garbo
137,Jo Vally
138,Marisol
