,artista,genero,tipo,nombre,anio_lanzamiento,id
0,Danza Invisible,indie,track,Lo que queda del amor,2000,1IlqUDoXCp4Wq5FoOPOCmS
1,Greta y los Garbo,indie,track,Todo,2000,0bmKhOy0RxziKWkgIsHSZ4
2,Víctor Manuelle,indie,track,He Tratado,2000,1BY0hau7A70wT7S8DsQyxE
3,Bonet de San Pedro,indie,track,Carita de Ángel (Fox Canción),2000,2ddI27bwreqSLU2uKgSGT2
4,Meteosat,indie,track,Starship - English Version,2000,2nhtNzoIwzxgqMDHJjc9Tq
5,Andrés Calamaro,indie,track,Jugar con fuego,2000,2Y4AW6LTpQSEpgo01uKpg6
6,Rafael Medina,indie,track,Cinco Minutos,2000,35EXdiVRByymNwgczajPaD
7,El Niño Gusano,indie,track,Yukón,2000,1Wl1mdUDKfPnFmE1CT5qdy
8,Greta y los Garbo,indie,track,Llueve,2000,21OVaMr5lUM7mvwzoV1OJt
9,Parrita,indie,track,La Sigo Queriendo,2000,1XfkvCP2W9xbShmQulSeiC
10,Víctor Manuelle,indie,track,Cuando Tu Amor Se Acabe,2000,2Ip5K2VjN5orAkkcSXge1n
11,Nelson Gomez,indie,track,En Ti,2000,2HWLGRmMwkQMgjIL6iJzFM
12,El Charrito Negro,indie,track,Vámonos,2000,7imZk9wvwxMsOsE8FAy8bQ
13,Nelson Gomez,indie,track,Ven a Mi,2000,4jA9CvSgc7KSbpJyqhJsRT
14,Cheb Rayan,indie,track,Achk Ezzine,2000,7fymd63LCnqjMp1KC0WHWP
15,Nelson Gomez,indie,track,Son Ustedes,2000,1r1zhlzdLXJsljxiMC13yH
16,KC De Leon Guerrero,indie,track,Sitting Home Alone,2000,4czMq35BrCMec0apJGS6j2
17,Keith Frank & The Soileau Zydeco Band,indie,track,Got To Get You Into My Life,2000,124RhNYIx9ocS76TF94UDA
18,KC De Leon Guerrero,indie,track,Pretty Baby,2000,3R6YTVI0HYVkswbbl3lIHR
19,Yam Baral,indie,track,Hasihasi,2000,4nGXen8jD8nKv6Ruyuem2G
20,Hany Shaker,indie,track,قلبي يا كبير,2000,4rq1O19UCx2Na7QkV9RW2V
21,Rainer Friman,indie,track,Hohtakoon tähdet,2000,3uxCoaxn3wcefi4mWJt5Vm
22,C.T. Fernando,indie,track,Sundara Sobana Gammane,2000,5OitRoOoWgAyE6RnCl3GPu
23,Stamatis Kokotas,indie,track,Mia Parenthesis Ke Mono,2000,0l1B1nc3mRITajWxwCaGdl
24,Васил Найденов,indie,track,"Сбогом, казах",2000,1yZJlcxJnbCu9TnuR0rD6w
25,Ernest Tubb,indie,track,Jimmy Rodgers' Last Blue Yodel,2000,24plOBlTorBqTnYKVcoFcq
26,Sauter-Finegan Orchestra,indie,track,Time To Dream,2000,02zCjDHCQRRfv9umZwdv2t
27,Jo Basile,indie,track,Je T'Aime Encore Plus,2000,0l1VmlgGHZXYL0CR27ryRz
28,Stelios Kazantzidis,indie,track,I Mira Mou Ki Ego,2000,7kDZ3bNXP5tO2X9Ja221Jo
29,Lindisfarne,indie,track,Shine On,2000,57eMvbS96z94E6KzRaEOEj
30,Sako,indie,track,Emmsere Ge Mnas,2000,1CURPZdqyTLk03JdMLlSRc
31,Lefty Frizzell,indie,track,A King Without a Queen,2000,7IZvFswdfBm39DyIEkZS9H
32,Titti Bianchi,indie,track,Canzone d'amore/Valzer,2000,31qRLB22MupKBUS2WKHPD8
33,Sunil Chhaila Bihari,indie,track,Galiya Galiya Ghumeey Che Durga Mayiya,2000,6eBFEM0Ls0zy3WOa14cHgv
34,Phương Dung,indie,track,Biển mặn,2000,2dbsRYZgikoKd0vO4EGRON
35,Shaaban Abdel Rahim,indie,track,Al Harrif,2000,0l2qnxWgqwrnkhH5i5VyNn
36,Back II Black,indie,track,Ölelj át - Club Mix,2000,3NZG8MclIHPj8QgHsDpW3Z
37,Jose Melis,indie,track,Over The Rainbow,2000,7GQyVrGnXcX2f2ed2osML2
38,Mộng Thi,indie,track,Chạnh lòng,2000,14rzmhBnwSEu1wYuK3luV5
39,Jose Melis,indie,track,Harbour Lights,2000,6tx07WGjhiNGWG97UHddKh
40,Castellina Pasi,indie,track,Rosario,2000,1138HsGkC0nuJlDNeeoFIz
41,Astrud,indie,track,Cambio de sentido,2000,5q2vrBlUvFxPPSqJIMI72J
42,Jo Basile,indie,track,En Ecoutant Mon Coeur Chanter (All Of A Sudden My Heart Sings),2000,3uxDtWNbEX9hUxsUCvFm4Z
43,Ricardo Braga,indie,track,"Amor, Secreto Amor",2000,29TjIdsUCvNxLhy44aC44A
44,Madan Dipbim,indie,track,Sutukka Aai Mutuma,2000,4Ua73fXsZkxaFVgaK5h5zs
45,Mary Merche,indie,track,A Solas Voy - I'll Walk Alone (Fox),2000,7kcymltHnfgiLBirFRVwn7
46,Sandy Van Ry,indie,track,Alle Lieder Dieser Erde,2000,1CU9ZY1NYf6BF9TU6fuUrH
47,Russ Case,indie,track,Beautiful Dreamer,2000,7LMOuOnVq9jipKCorZFit9
48,Aziz Mian,indie,track,Jo Bhi Tere Faqeer Hote Hain,2000,6h9gKAQDpoWmPwmAjM8aFM
49,George Melachrino,indie,track,Lisbon At Twilight,2000,2bCIOH99kdRw3ZYc7YxtV1
50,Luciano Rossi,indie,track,Se per caso domani,2000,5jxGKJY55v7NPezqefx2Ok
51,ธรรพ์ณธร,indie,track,ยอม (RS.Song of Millenium - Version),2000,7yZVyFizn3S39fpjuDv8AI
52,Manny Albam,indie,track,Chant Of The Witch Doctors,2000,2bD9KI34PIw08q8BFIiWai
53,Dragan Saulic,indie,track,Pusti me da zivim,2000,1OFzGDWzeZkBoAZNzOJL9n
54,Luisita Calle,indie,track,"Tengo Miedo, Torero (Pasodoble)",2000,37QCEeRNP08khvsfGCpLXn
55,Youmni Rabii,indie,track,Agalbi Lah Ihdik,2000,6pUQhOvm1jComMC1fPTJaq
56,Titti Bianchi,indie,track,Picadores (tango),2000,4tm82Xx4S3R14GjY3HPyJy
57,Klaus & Servants,indie,track,Jeg vil aldrig Glemme,2000,0Xq0wsMBWXd41SaWSIoGmU
58,Nia Daniaty,indie,track,Yang Lalu Biarlah Berlalu,2000,7HVGg01RNOW7CzDDZJTloL
59,Dan Toren,indie,track,אמיתי וטעים,2000,4J7H2FoTXp3Z0s6ujeaBOE
60,Alma Cogan,indie,track,I Can't Tell a Walt from a Tango,2000,7LMJX79hRjNI2pA1Qmb7mP
61,Betharia Sonatha,indie,track,Ditingga Uda,2000,7BlvoMjBg9MR6k4alJ3QaA
62,Ita Purnamasari,indie,track,Jangan Biarkan,2000,25B8S1czDr18GK8rCoxRpo
63,Kondio,indie,track,Хайде на море,2000,3EnOVBPtzfaxLYckZAxpTl
64,Ciranda Flor Matizada,indie,track,"Lendas, Contos e Mitos",2000,1ru4y2qSLNoQIbYyz0qLUz
65,Dạ Nhật Yến,indie,track,Triệu Đóa Hồng,2000,6UJyBT8I5XOkk62sgQ4bJU
66,Bahrâm Sârang,indie,track,Del o Din,2000,5djUV5Ec8UxRjyFxEB8xme
67,Ulla Pia,indie,track,Hallelujah,2000,2ddKqIq9neB7v1Ff5huyeD
68,Sunil Chhaila Bihari,indie,track,Goadbo Godanwa Ge Goriya,2000,1t1x65uxSVNtSk0OI583FH
69,Janaka Wickramasinghe,indie,track,Rosa Kandu Thala Yahanatha,2000,6UaT2VNv6vZWNbpxcTjG4E
70,Marty Paich,indie,track,But Yours,2000,0b9JqMBHsQJvcp79LfWVMk
71,Thùy Dương,indie,track,Chị Tôi,2000,2YEvpAZLmRVnam3Stw0upv
72,Paolo Mengoli,indie,track,Occhi,2000,5dZ8cSmLMy1Du0V62EZW6W
73,Bay City Rollers,indie,track,Remember - UK Single Version,2000,2xmzditdcdGH5Y8lUSGQme
74,Albert Hammond,indie,track,The Free Electric Band,2000,4J88ldoeHiPMaFqjIH6OKA
75,Ngọc Huệ,indie,track,Tình chất ngất bên anh,2000,5q2jvqYrIphvZaFcHoOLfT
76,Ted Heath,indie,track,The Blue Room,2000,6h9uMmB2hwHetF6JtIh5Uk
77,Jo Basile,indie,track,Piano De Rauvre,2000,4Elc1No0KIcU7EHA4M0m2p
78,George Morgan,indie,track,It's A Sin,2000,0wLK9iaknnOyKj8dR0qjUh
79,Stonewall Jackson,indie,track,Waterloo,2000,3MbdRKfqG7BE8lgCeT2TRB
80,Rinus Okken,indie,track,Jij Maakt M'n Leven Mooi,2000,4BvsuLC7ZpPzoAXTf5GycX
81,Back II Black,indie,track,Ölelj át - Cool Mix,2000,4vYz4R2hUagPi6kXfbQSmX
82,Yosef Moshe Kahana,indie,track,"Shabbos Melody 1,2",2000,7jJngQtE1BuQWTK6oDZdll
83,Ahmed Hassan,indie,track,Aouam,2000,2XiIkJEGZ5gm2GNH1Eyo5L
84,Michael Kwan,indie,track,愛的音訊,2000,3LpkSJI1HRQ8ZCiSN4oq2I
85,Parvaneh,indie,track,Postchi,2000,49GFHqFS6URUFaGVteHLxc
86,MANOJ TIWARI,indie,track,Phir Bom Ke Nara Ke Gunj Gayil,2000,06mEOPjEq3D0BzroYFXg5E
87,Trang Thanh Lan,indie,track,Đưa em vào hạ,2000,21f0VjtXdHcf6KJwJVbwzW
88,Stefani,indie,track,Izpoved,2000,0b1vQuYVGjpeQPb2QHHAhm
89,Angela Maria,indie,track,Na Baixa do Sapateiro,2000,6qSj8ye7P2suq5JnqoXbyh
90,Bozo Vorotovic,indie,track,Hajde opet prevari me,2000,0nupVA6VXMkPRocy39h0mc
91,Shang Guan Ping,indie,track,三年別離又相逢,2000,2ciib2UJzNfjbROsJw8Nmn
92,Geeta Patnaik,indie,track,Baha Mu Hebi,2000,569L8tjrV6cRC0iRXrIEFn
93,Pop Shalini,indie,track,Us Se Bada Sabhaga Na Duja,2000,7HaIyVKPAJG3Wv5IvyROuA
94,LMNOP,indie,track,High Potential,2000,0rOW1CuSrwGvhm4IzwEMP4
95,Jonah Jones,indie,track,Isle Of Capri,2000,3sG04gJJkajnjdc7yw3KX1
96,Shaaban Abdel Rahim,indie,track,Had Gherna,2000,6QuMxBsCAtxp7Y5eLdo4HD
97,Harbhajan Shera,indie,track,Pind Vich Mitran De,2000,1wIGmqxJMQxDcpH0eYxcOI
98,Hà Thanh,indie,track,Lạy phật chứng tri lòng con,2000,6kwQlu5Diy02on215tH62H
99,Jonah Jones,indie,track,Poor Butterfly,2000,3KDX9xwx5atVUuIiINCvid
100,Al Hirt,indie,track,Fidgety Feet,2000,6vEswvmzdNJasKjq7SN17H
101,Shambhujeet Baskota,indie,track,Dherai Din Bho,2000,6EvNvLNe0lQS7iJazwcFIy
102,Durga Rangila,indie,track,Channo-Channo,2000,5Yfemi1NDbyiHb1mdRYgVw
103,Lâm Nhật Tiến,indie,track,Tình Yêu,2000,4ESnvGarafpNTAf0NCEKeg
104,Hợp Ca,indie,track,Ly Rượu Mừng,2000,3mdei8inJnJBtprytI4eGK
105,MANOJ TIWARI,indie,track,Piya Pardeshiya,2000,3PShllc0RIddBUCO9aepNJ
106,Ulla Pia,indie,track,Jorden drejer stadig rundt,2000,0e5xmJxII3xp2OpyM2YUlR
107,Oto Pestner,indie,track,Če bi me ljubila,2000,7JYb5WRMMkK0AMbipLbnKq
108,G.G. Shinn,indie,track,Heartbreak,2000,1Lqy0w4Q0HoUlcXwIpXKW7
109,Grupo Raíces de Venezuela,indie,track,Dame un beso,2000,1svf8xWVnImAS4WpnuHSuL
110,Bobby Rydell,indie,track,I'd Do It Again,2000,6Xa5mVex7fQtgPSp8GchAE
111,Sunil Chhaila Bihari,indie,track,Chakay Ke Chak Dhum Makaiy Ke Lava,2000,4USczdVO6NzWTUPl6XhqHV
112,Raquel Rastenni,indie,track,Har du solskin i dit hjerte,2000,1SiT1rYHe9J02QabFyHK32
113,Bobby Rydell,indie,track,Ding-a-Ling,2000,1EnCdw3HgO34tJfMiFNafo
114,Aurelio Fierro,indie,track,Lazzarella,2000,0QPWrhawKAPoNWy1nLdgQX
115,Tanya Boeva,indie,track,Molitva,2000,7FT6WNjWBrPqr5ziXuUGi7
116,Phương Dung,indie,track,Biển mặn,2000,2dbsRYZgikoKd0vO4EGRON
117,EDX,indie,track,Gonna Catch You - Radio Classic Edit,2000,4rqCdunW2Qoal9ktjTCjWF
118,Pınar Eliçe,indie,track,Yalan,2000,0l1GpVWsX2HBghG9K6PUnI
119,Hugo Winterhalter,indie,track,Carol Of The Bells,2000,3MkyXyGhxZSjFZhsctu0j4
120,Mary Merche,indie,track,A Solas Voy - I'll Walk Alone (Fox),2000,7kcymltHnfgiLBirFRVwn7
121,Lefty Frizzell,indie,track,From an Angel to a Devil,2000,57lY2pVrFMHuCpqSuQncz3
122,Aziz Mian,indie,track,Jo Bhi Tere Faqeer Hote Hain,2000,6h9gKAQDpoWmPwmAjM8aFM
123,Naseebo Lal,indie,track,Takan Jadon Chan Wale,2000,1c4H0kBt4jNQPo1qHMyBBO
124,Marty Wilde,indie,track,Little Girl,2000,5IwTbPkshOeyOSgMZWsh5n
125,Milt Buckner,indie,track,Let Me Love You,2000,0R77LHwHVtOs7YMwzUJYd4
126,Bằng Kiều,indie,track,Còn Mãi Nhớ Thương,2000,3EoNT2FYa9emkV5vGionih
127,Jose Melis,indie,track,My Funny Valentine,2000,5wqrj6WXHV6JGuALwRV0uq
128,Rania Kurdi,indie,track,Rahant Aleik,2000,2zmkgjGzax825nbSq2qRhU
129,Kim ANh,indie,track,Xuân họp mặt,2000,5W726EJkNIatjlbLKwgvas
130,Dạ Nhật Yến,indie,track,Yeu Tham,2000,1GAuzPUQRt7xruUZcQ15G8
131,Aurelio Fierro,indie,track,Zappatore,2000,7eXQZT96AZkQIyykCthJeV
132,Владимир Высоцкий,indie,track,Романс миссис Ребус,2000,6GHNQ0oKKUhjAJ1sPHHMg1
133,Lecia & Lucienne,indie,track,Waiting on the Corner,2000,2NAmFXndkMLAeDarX1Xaov
134,Diana Pequeno,indie,track,Anjo de São Raquel,2000,07BU6XLEdREI5M3n5Cqico
135,David Brookings,indie,track,Strawberry Fields Forever,2000,3qlQA8hOP4THchsLoSktkk
136,Raquel Rastenni,indie,track,Min sang til dig,2000,3VPd8MHWHHGgo3y8j5XgH1
137,Aleksandr Marshal,indie,track,Снайпер,2000,6WtmAmIPU4jnxg9qPG0QgR
138,Marty Paich,indie,track,Honeysuckle Rose,2000,2uUzcqe7StUFff9sxXODUD
139,Herman van Veen,indie,track,Alles Werd Anders,2000,7wIJmM62C7f2okiDJxgIMr
140,Rahman Asadollahi,indie,track,Gozum Yashla Dolmasin,2000,5oW0vEs3N0aHSsquASEVHw
141,Sunil Chhaila Bihari,indie,track,Happy Chirstmas Aaya,2000,1hF3M7pyxJ0Dmc1T5nJrkm
142,Gitte Hænning,indie,track,Jung Sein Ist Nicht So Leicht,2000,5tKtgw6zxOzAhYoOTJIn3v
143,Pop Shalini,indie,track,Us Se Bada Sabhaga Na Duja,2000,7HaIyVKPAJG3Wv5IvyROuA
144,Suresh Wadkar,indie,track,Hari Ala,2000,0ddkQeCnRPFSpaGEE7tfPq
145,Vaishali Samant,indie,track,Ambecha Gondhal Ghalaycha,2000,0bWeN7dtkjGgEzvshpuqp8
146,Roberta Cappelletti,indie,track,L'amica mia (moderato),2000,4FgyBz4NHXg9LaPuokSaR9
147,White Plains,indie,track,Concrete Jungle - White Plains,2000,4RdfjVlc7zxuATIXWVHOuu
148,Eino Grön,indie,track,Tango d'Amore,2000,1pqQmVYddV84Z7P8EDZEAv
149,Jan & Dean,indie,track,We Go Together,2000,2sMGhhWcdN3UavY5dArlXr
150,Kai Winding,indie,track,Thou Swell,2000,4i4dtyPQjedVeNWw9lTIcj
151,Youmni Rabii,indie,track,Bidaouaite,2000,7bp8PR5vr4R7by1QrZxGiZ
152,Al Hirt,indie,track,Royal Garden Blues,2000,3ac9gj6TLvy5rSUzWSNBlj
153,Miguel E André,indie,track,Quando o Amor Chama,2000,3DyOVXcXZ6VEPVAG7wqMdB
154,Marty Paich,indie,track,Little Rock Getaway,2000,4BxDCa4oxaZaVRa574H8D8
155,Shorty Rogers,indie,track,Michele's Meditation,2000,0mtnmYkvfZiOKYDakUuClj
156,Chava Alberstein,indie,track,את כל פלאי הקיץ,2000,4ZZdCQctJUX7TB6Nodj3vV
157,Giao Linh,indie,track,Trả Lại Thời Gian,2000,1LHjgJOjtX8z2smV0u8348
158,Dave Pell,indie,track,Look Who's Dancing,2000,4uz4iquqAONVuzdHeIO2cp
159,Shorty Rogers,indie,track,The Line Backer,2000,3MqvxzAOthgQo5OiuYKzKH
160,Ana María González,indie,track,Dos hermanos (corrido),2000,6Pd2txgnSvRWmVXMv9DxCp
161,Al Hirt,indie,track,Brotherhood of Man - Remastered - 1999,2000,5vnwWxXN2tQ7lNLO6jcUkI
162,Bardot,indie,track,These Days (DJ Clinton Remix),2000,54ZEOxMSCaAjVK6AXDKRic
163,Vishnu,indie,track,Swarna Bharana,2000,7306lWFNRCspAUJbmP5CIs
164,Cungen,indie,track,The Beautiful Place (Mei Li De Di Fang),2000,2peEhC74gttm1EeC81rXbR
165,Erik Paaske,indie,track,Kip-Kalv-visen,2000,14t99RJe4N5PnXRcEJES2h
166,Skamp,indie,track,All in My Mind (Freestyle),2000,6iDY9NkiXqjVi7LS2Nbc7a
167,Youmni Rabii,indie,track,Baghi ntzeouj,2000,6kx5tlE7s1moRSWBpF3z5E
168,Trang Thanh Lan,indie,track,Đưa em vào hạ,2000,21f0VjtXdHcf6KJwJVbwzW
169,Yuni Shara,indie,track,Pelangi,2000,29dR8kGT5h7KnBM44zSCr1
170,Hedi Habbouba,indie,track,يا نجمة في السماء تلالي,2000,0NvfnSUrk0j5zjQFAzgoLi
171,Abdujalil Qo'qonov,indie,track,Shohida qiz,2000,1tbMqvxrmsZhXgczO7vDz2
172,Stamatis Kokotas,indie,track,Pio Monopati Na Diavo,2000,4SY55gcmiS8p9LAHBjbtkS
173,PRO BRASS,indie,track,F. Z. - Echidna's Arf,2000,07AzqVpmKiUqb00PbUxEFx
174,Kithsiri Jayasekara,indie,track,Nagena Waira Ginidal,2000,34HYEROVJvTW2aWWigNtWF
175,Khánh Ly,indie,track,Bóng Trăng Xưa,2000,1anlFycjxFBd52rWggpuPV
176,Богдана Карадочева,indie,track,Лунапарк,2000,0sLaBxmRt2Z4TCBrZIuQs1
177,Hà Thanh,indie,track,Lạy phật chứng tri lòng con,2000,6kwQlu5Diy02on215tH62H
178,Dakis,indie,track,To mialo mou ehasa,2000,49Ho6ZU6eAzyXSXUCGkwYa
179,Medhat Saleh,indie,track,Atshan Ya Snen Hwaya,2000,21f4b0yZ9QFRMaZ4eTF9CP
180,Don Elliott,indie,track,Catana,2000,21gGFLb1S8WRDfynEIMjge
181,Olivier Hecho,indie,track,Your implicit faith in the flow and ebb,2000,7djulI2NfJnxIw1RHCGmih
182,Titti Bianchi,indie,track,Picadores (tango),2000,4tm82Xx4S3R14GjY3HPyJy
183,Luisita Calle,indie,track,Gitana (Bolero),2000,1dQN3ro9JAV0Cq0gGOOhX1
184,George Morgan,indie,track,It's A Sin,2000,0wLK9iaknnOyKj8dR0qjUh
185,Shazia Manzoor,indie,track,Baanwan Vich Laal Laal Choriyan,2000,301tMHIBOZqQh9yTLnLsYs
186,Irena Starošaitė,indie,track,Šviesa lange,2000,5W63axlUsfJUgICU5vEJR9
187,Titti Bianchi,indie,track,Il primo giorno senza te/Valzer lento,2000,3c1rcvDznc18gLJyY1WklO
