,0
0,Ildikó Keresztes
1,Amalia
2,Elsie Bayron
3,One Ring Zero
4,Gal George Gjurin
5,Honey Family
6,Blerta
7,Al Hirt
8,Lâm Vũ
9,Antoni Muracki
10,Mario Bragadini
11,Afroditi Manou
12,Skamp
13,Edoardo Vianello
14,Krishnaraj
15,Lecia & Lucienne
16,P. Hux
17,Margareta Clipa
18,Ku-Ku Band
19,Adil El Miloudi
20,Rocky Roberts
21,Stratos Dionisiou
22,Meri Lida
23,Misato Watanabe
24,Lopamudra Mitra
25,Hedi Habbouba
26,Durga Jasraj
27,Seema Mishra
28,Saša Lozar
29,Ion Dolanescu
30,Nino Xypolitas
31,Ria Amelia
32,Sekhar Ghosh
33,Javiera
34,Džo Maračić Maki
35,Klaus & Servants
36,Dueto Remembranzas
37,José Alberto Reis
38,Jo Vally
39,Hrvoje Hegedusic
40,Tamara Gverdtsiteli
41,Yến Khoa
42,Thanh Thúy
43,Satinath Mukherjee
44,Abdullah Sattar Baloch
45,Jonah Jones
46,Pavlína Filipovská
47,Speedmarket Avenue
48,Irena Starošaitė
49,Rafael Medina
50,Umberto Bindi
51,Firoza Begum
52,Александр Барыкин
53,Kalevi Korpi
54,George Jones
55,Pasión Vega
56,Massimo Ranieri
57,Greta y los Garbo
58,Bay City Rollers
59,Lovely Nirman
60,Rinus Okken
61,Srikanta Acharya
62,Aleksandr Marshal
63,Mary Merche
64,Eino Grön
65,Os Panteras
66,Olivier Hecho
67,Swapnil Bandodkar
68,Nusrat Fateh Ali Khan
69,Thiên Trang
70,Anika Horvat
71,Sigurður Ólafsson
72,Dionne Warwick
73,Credo
74,Ted Heath
75,Mino
76,Stephanie
77,Sardool Sikander
78,George Melachrino
79,The NewMatics
80,Gérard Blanchard
81,Atom TM
82,Dimitris Kokotas
83,Milénio
84,Stonewall Jackson
85,Too Much Joy
86,Mauricio Reis
87,Diddú
88,Tolis Voskopoulos
89,Laith Al-Deen
90,Ulla Pia
91,Chế Linh
92,Víctor Manuelle
93,Julie
94,The Lotus Eaters
95,Sanju Rathod
96,Dræsinebanden
97,Mario Castelnuovo
98,Nosso Tom
99,Excesso
100,Jimmy Fontana
101,Yuka Kawamura
102,Lorenzo González
103,Harout Khachoyan
104,Neha Rajpal
105,Garzon y Collazos
106,Evert Taube
107,Naseebo Lal
108,Themis Adamantidis
109,Nuša Derenda
110,Hiruth Girma
111,Ana María González
112,Shaaban Abdel Rahim
113,Dirt Bike Annie
114,Jane Duboc
115,Manmohan Waris
116,Los Xey
117,Віктор Павлік
118,Ozoda
119,Bima Kumari Dura
120,Phương Hồng Quế
121,Vince Hill
122,Rebecca Saimawii
123,Jesus Vasquez
124,Pernice Brothers
125,劉家昌
126,Shabnam Majeed
127,Txaranga Mutil Gazteak
128,Nicolai Dunger
129,Sukshinder Shinda
130,Presuntos Implicados
131,Steve Riley & The Mamou Playboys
132,The Silos
133,Lindisfarne
134,Iwa K
135,Renato Rascel
136,Sohan & The X-Periments
137,Lefteris Pantazis
138,TCR
139,Lea Laven
140,Toni Iordache
141,Ivo Robic
142,Olivia Hime
143,Monir Khan
144,Farida Parveen
145,Paweł Orkisz
146,Frederik
147,Hacer
148,EDX
149,Eva Olmerova
150,Mai Hương
151,Abdujalil Qo'qonov
152,Solistiyhtye Suomi
153,Dunai
154,Kumar Bapi
155,Ciranda Flor Matizada
156,Castellina Pasi
157,Connie
158,Fumiya Fujii
159,Lis & Per
160,Nia Daniaty
161,Mike Garrigan
162,Salim Shekhawas
163,Hương Lan
164,MANOJ TIWARI
165,Ngọc Huệ
166,Jitka Zelenková
167,Dharampreet
168,Duo Karst
169,Jan & Dean
170,Karlakórinn Fóstbræður
171,Grace Chang
172,Namita Agrawal
173,Humera Channa
174,Tabaré Cardozo
175,Joel Hallikainen
176,Grigoris Bithikotsis
177,Ái Vân
178,Khine Htoo
179,Duy Khánh
180,KC De Leon Guerrero
181,Olavi Virta
182,Ira Ironstrings
183,Zsuzsa Koncz
184,Claudia Barroso
185,Boris Novković
186,Shazia Manzoor
187,Khánh Ly
188,Antti Huovila
189,Nino
190,Lasse & Mathilde
191,Nainnath Rawal
192,Andrés Calamaro
193,Phương Dung
194,Walid Toufic
195,Yam Baral
196,Imad Rami
197,Reijo Taipale
198,Rita Pavone
199,Rocío Jurado
200,Tommy J Pisa
201,Manny Albam
202,Mikis Theodorakis
203,Merrick
204,Pedro Miguéis
205,Mannakorn
206,Ahmed Hassan
207,Megas
208,Philippe Lavil
209,Tsai Chin
210,László Komár
211,Orietta Berti
212,Luqman Salim
213,Ý Lan
214,Lochan Bhattarai
215,Kleiton & Kledir
216,Trio Martino
217,Duy Quang
218,Giannis Kalatzis
219,Alina
220,Anupam Saikia
221,Erik Grip
222,Teresa Teng
223,Luisita Calle
224,Ozodbek Nazarbekov
225,Farah Lal
226,Aziz Mian
227,Tin Zar Maw
228,János Bokor
229,David Brookings
230,구피
231,László Aradszky
232,ธานินทร์ อินทรเทพ
233,Selçuk Ural
234,Gunārs Meijers
235,Ram Krishna Dhakal
236,Satellites LV
237,Ingus Ulmanis
238,Deepali Joshi
239,Oto Pestner
240,Apvedceļš
241,Nihal Nelson
242,Ajay
243,Hamid Hami
244,Asif Akbar
245,Sita
246,Andy de Witt
247,Guddu Rangila
248,Castellina-Pasi
249,Sơn ca
250,Manolo Otero
251,Giannis Parios
252,Keith Frank & The Soileau Zydeco Band
253,Tandy
254,Danza Invisible
255,Teen Sensation Glasses
256,Anja Rupel
257,Meteosat
258,Medhat Saleh
259,Danny McDonald
260,Patti Kim
261,Berentei Péter
262,Nguyên Khang
263,L.N. Shastri
264,Paulo Ribeiro
265,Anand Shinde
266,Phượng Mai
267,Debabrata Biswas
268,Ana Belén
269,Maja Blagdan
270,Ivason
271,Suzana
272,María Teresa Chacín
273,Alex Chilton
274,Prakash Gurung
275,Dewi Yull
276,Petra Janů
277,Mahesh Ranjan Shome
278,Nass El Ghiwane
279,Paula Seling
280,Yosef Moshe Kahana
281,Paulo Diniz
282,Pamma
283,Baby Naznin
284,Ambondrona
285,Fernando Mendes
286,Jasna Zlokic
287,Los Black Stars
288,Mango
289,Đàm Vĩnh Hưng
290,Mộng Thi
291,Gretchen
292,Inderjit Nikku
293,Baraflokkurinn
294,His Name Is Alive
295,Erik Paaske
296,Niks Matvejevs
297,Ditka Haberl
298,Dave Pell
299,Chaw Su Khin
300,Shorty Rogers
301,Jimmy Clanton
302,Rabih Al Asmar
303,Sai Saing Maw
304,Neel Kamal
305,Nenhum De Nós
306,Neal Hefti
307,Sơn Tuyền
308,LOS PATUMA
309,José Luis Rodríguez
310,Sandhya Mukherjee
311,Kari Tapio
312,Billy Vaughn
313,THE YELLOW MONKEY
314,Giannis Poulopoulos
315,Vânia Bastos
316,Lolita Garrido
317,Chung Tử Lưu
318,Jayati Chakraborty
319,خميس ناجي
320,PornoGraffitti
321,Sukhdev Sukha
322,Andrew Kishore
323,Nina Badric
324,Thanh Tuyền
325,Eduard Khil
326,Yo Hitoto
327,Amar Arshi
328,Si Himan
329,Romantici Vagabondi
330,Jodle Birge
331,Carola
332,Chucho Avellanet
333,Bharat Sharma Vyas
334,Cauby Peixoto
335,Devan Ekambaram
336,Lehakat Geisot Hashiryon
337,Sunil Chhaila Bihari
338,The Mong Cowboy
339,Celia Gamez
340,Kai Winding
341,Ileana Constantinescu
342,Bjarni Arason
343,Annika Hoydal
344,Elvis Phương
345,Tip y Top
346,Carlos Jose
347,Choi Sung-Soo
348,Don Hồ
349,David Rose
350,Tapani Kansa
351,Alon Oleartchik
352,Raimonds Pauls
353,Amrita Virk
354,Litsa Diamanti
355,Bobby Charles
356,Wayang
357,Diana Pequeno
358,Feroz Khan
359,Shambhujeet Baskota
360,Arraial Do Pavulagem
361,Kalpana Patowary
362,Arsen Dedić
363,Naval Mali
364,Naďa Urbánková
365,Annie Cordy
366,Barimar
