,Artist,Biography,Listeners,Playcount,Similar
0,Ildikó Keresztes," <a href=""https://www.last.fm/music/Ildik%C3%B3+Keresztes"">Read more on Last.fm</a>",311,4258,"('Veca Janicsák', 'Pál Dénes', 'usnk', 'Viktor Kiraly', 'Gájer Bálint')"
1,Amalia,"Amalia is a mononym of, at least, three artists: 1) Canada's jazz / soul singer, Amalia Townsend. 2) A minority tagging of Amália Rodrigues

1) Canada's jazz / soul singer, Amalia Townsend, currently living in Sweden. She pays homage to the strong women of soul who catalysed her ingenuity, such as Chaka Khan, Sheila E., Eartha Kitt & Betty Davis. Most of her music is produced by Opolopo.

Besides winning the prestigious CMW award & being nominated <a href=""https://www.last.fm/music/Amalia"">Read more on Last.fm</a>",8073,59523,"('Opolopo', 'SoulParlor', 'Vindahl', 'Opolopo & Amalia', 'Colonel Red')"
2,Elsie Bayron," <a href=""https://www.last.fm/music/Elsie+Bayron"">Read more on Last.fm</a>",285,1028,"('Orquesta Gran Casino', 'Rafael Medina', 'Los Xey', 'Mari Merche', 'Orquesta Casablanca')"
3,One Ring Zero,"One Ring Zero is Michael Hearst and Joshua Camp. The Brooklyn-based duo has released five CDs, including their critically acclaimed album, As Smart As We Are, a book-cum-CD, featuring songs with lyrics contributed by such authors as Jonathan Lethem, Margaret Atwood, Paul Auster, Dave Eggers, A.M. Homes, Rick Moody, Neil Gaiman, and Denis Johnson. One Ring Zero has performed at music venues and cultural institutions including the Whitney Museum of Art <a href=""https://www.last.fm/music/One+Ring+Zero"">Read more on Last.fm</a>",4332,44075,"('Die Hard Cafe', 'The Gertrudes', 'Dream Brother', 'Big Hurry', 'Boy Things')"
4,Gal George Gjurin," <a href=""https://www.last.fm/music/Gal+George+Gjurin"">Read more on Last.fm</a>",46,425,"('Severa Gjurin', 'Kokosy', 'MRFY', 'Jan Plestenjak', 'Hajdi')"
5,Honey Family,"A defunct rap group of 7 members in Korea who mix electrionic sounds, sound bites and old school beats. The members are: Digiry, Park Myung Hou, Garie, Gill, Jura, Young Poon, and Su-Jung.
In 2000, Miryo was added into the group after 2 female rappers left. <a href=""https://www.last.fm/music/Honey+Family"">Read more on Last.fm</a>",1864,22194,"('People Crew', 'CB Mass', 'Novasonic', 'MC Sniper', 'Lee Hyun Do')"
6,Blerta,"Blerta (""Bruno Lawrence's Electric Revelation and Traveling Apparition""), was a New Zealand musical and theatrical co-operative active in the 1970s.

It was the idea of Bruno Lawrence to get together a group of musicians, actors and friends who would travel around New Zealand on a tour to get away from the pressure of the music and movie scene. He organised the traveling group and in October 1971 they departed on their tour. The group travelled around New Zealand in a very distinctive red bus. <a href=""https://www.last.fm/music/Blerta"">Read more on Last.fm</a>",1869,12155,"('Pixie Williams & The Ruru Karaitiana Quartet', 'DD Smash', 'Shona Laing', 'The Crocodiles', 'Fourmyula')"
7,Al Hirt,"Alois Maxwell ""Al"" Hirt (November 7, 1922 – April 27, 1999) was an American trumpeter and bandleader. He is best remembered for his million-selling recordings of ""Java"" and the accompanying album Honey in the Horn (1963), and for the theme song to The Green Hornet. His nicknames included ""Jumbo"" and ""The Round Mound of Sound"". Colin Escott, an author of musician biographies, wrote that RCA Victor Records, for which Hirt had recorded most of his best-selling recordings and for which he had spent much of his professional recording career <a href=""https://www.last.fm/music/Al+Hirt"">Read more on Last.fm</a>",269527,1192770,"('Herb Alpert', 'Herb Alpert and the Tijuana Brass', 'Bert Kaempfert', 'Luis Bacalov', 'Henry Mancini')"
8,Lâm Vũ," <a href=""https://www.last.fm/music/L%C3%A2m+V%C5%A9"">Read more on Last.fm</a>",112,844,"('Ngô Kiến Huy, DTAP', 'Sean, Lửa', 'Nhạc Thiếu Nhi Thư Giãn Ngài Gâu Gâu, Giai Điệu Trẻ Thơ Loulou và Lou', 'Đen, Thành Đồng, Vũ.', 'Lý Hải')"
9,Antoni Muracki," <a href=""https://www.last.fm/music/Antoni+Muracki"">Read more on Last.fm</a>",3083,44889,"('Andrzej Ozga', 'Stefan Brzozowski', 'Elżbieta Wojnowska', 'Michał Łanuszka', 'Paweł Orkisz')"
