,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
0,Greta y los Garbo,1JLQBaGeAWCLJS1bxNcSOg,pop,track,Todo,2000,0bmKhOy0RxziKWkgIsHSZ4
1,Meteosat,3KKsRxoHn0UqQYA4AAfwpN,pop,track,Starship - English Version,2000,2nhtNzoIwzxgqMDHJjc9Tq
2,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,pop,track,Jugar con fuego,2000,2Y4AW6LTpQSEpgo01uKpg6
3,Rafael Medina,47EplFbg4okyGPSZeB1rHe,pop,track,Cinco Minutos,2000,35EXdiVRByymNwgczajPaD
4,El Niño Gusano,3U9CI4vQwxLoAeovpgT9ZH,pop,track,Yukón,2000,1Wl1mdUDKfPnFmE1CT5qdy
5,Greta y los Garbo,1JLQBaGeAWCLJS1bxNcSOg,pop,track,Llueve,2000,21OVaMr5lUM7mvwzoV1OJt
6,Víctor Manuelle,4N5fp4zhTsVITZTVfsXpc2,pop,track,Cuando Tu Amor Se Acabe,2000,2Ip5K2VjN5orAkkcSXge1n
7,Nelson Gomez,5q9oOJoFLDUY2nEgBLPfOz,pop,track,Ven a Mi,2000,4jA9CvSgc7KSbpJyqhJsRT
8,Cheb Rayan,2vHzXwfwVDsP4iKN8SezRR,pop,track,Achk Ezzine,2000,7fymd63LCnqjMp1KC0WHWP
9,KC De Leon Guerrero,6hQgNLXnXaGKKzHIZhhQgK,pop,track,Sitting Home Alone,2000,4czMq35BrCMec0apJGS6j2
10,Keith Frank & The Soileau Zydeco Band,02tyD6uuhrGHotsQDbmoW2,pop,track,Got To Get You Into My Life,2000,124RhNYIx9ocS76TF94UDA
11,Saïd Senhaji,0B5LEqRZp3vG38J25CYPca,pop,track,Senhaji,2000,4sTh1frZEpEUXPPUcjChC7
12,Stamatis Kokotas,6RTaV5nZWyOxWWHkvDlrV4,pop,track,Mia Parenthesis Ke Mono,2000,0l1B1nc3mRITajWxwCaGdl
13,Pierangelo Bertoli,2FG36mpWS2kd7fHSIrgQZy,pop,track,Sera di Gallipoli,2000,2SAJ9NIxZcrKuVv39Mi6tb
14,Wayang,5V9J1S3UkLy41GPRi0Kvx2,pop,track,Oh Malam - Acoustic,2000,5yHu2rQemsxaEBDfnXVn6T
15,Jimmy Clanton,2XZXvrqedRMiKv6UWjAT4B,pop,track,Sleepy Time Gal,2000,2zq3nuYybWztMCSCj4dxpD
16,Umberto Bindi,4or0nDiNwE0noWsqutkQAD,pop,track,Il nostro concerto,2000,3gz3r1uwNaykLJoH7vfWh0
17,Sunil Chhaila Bihari,5IHqGRAyXQlCzcUz7CxZXv,pop,track,Galiya Galiya Ghumeey Che Durga Mayiya,2000,6eBFEM0Ls0zy3WOa14cHgv
18,Meri Lida,6Cldqo272WFBK4GwDHO46f,pop,track,Parakalo Ton Ourano,2000,4vZeCsSqotY1VG9YpquJ44
19,Janaka Wickramasinghe,7pOkNklG2i8y4Q9TyAN00X,pop,track,Rosa Kandu Thala Yahanatha,2000,6UaT2VNv6vZWNbpxcTjG4E
20,Ciranda Flor Matizada,0APFHsY2v8WVaNGZzUGim4,pop,track,"Lendas, Contos e Mitos",2000,1ru4y2qSLNoQIbYyz0qLUz
21,Phương Dung,2P7WrPkRtQLLJY5KPOmDt3,pop,track,Biển mặn,2000,2dbsRYZgikoKd0vO4EGRON
22,Sunil Chhaila Bihari,5IHqGRAyXQlCzcUz7CxZXv,pop,track,Kakhno Durga Bain Ke Kakhno Kali Bain Ke,2000,4vZ7CNtbSPyYgghGqBi8Mj
23,Back II Black,5xYs3nRDPg3VZukPlhjAlW,pop,track,Ölelj át - Club Mix,2000,3NZG8MclIHPj8QgHsDpW3Z
24,Erik Grip,3ljyaOWJ3Z0uajvpzkDWXc,pop,track,Besværgelsen,2000,6qZSVizjTR4yD54IWnw0gk
25,Hugo Liscano,2PtoCPBkCc37AWeldMTd1I,pop,track,Eva,2000,130HjtLex3MwcjlMi4672y
26,Bhikari Bal,266KhX3JHPjtwhejHvMwGR,pop,track,Aare Udhaba,2000,2sy9QvMad8osx2Ry8ZB89R
27,Lecia & Lucienne,6oNQgXY4XqkR8gp2Ktbwfj,pop,track,Bum bum,2000,4UeAYYM5l0Az5Zvzb2yx2u
28,Nenhum De Nós,3bKO3mmizIpDdwNVdp96B9,pop,track,Eu Vejo Estrelas,2000,2oeLfftRZmsxVFeBnPhF09
29,Anja Rupel,5VXRZIJc3wm6lGrXY1diIn,pop,track,Kot da te ni,2000,2pdNxNTF7YOwXbfxJElIc3
30,Jose Melis,6KWzDPQEIpSXZKB1jjZvwx,pop,track,Lazy Afternoon,2000,2v5yJvQHzzfYCw0zY9Mwy7
31,Lovely Nirman,5vDFlGw3JlHeDjTnuLecdW,pop,track,Galiaan Vich Rulda Aashiq,2000,4dooWzESAoECQ16w27Q66a
32,Margareta Clipa,658O3aAO7OyEHbTVT6vwqo,pop,track,Sârba flăcăilor,2000,41fq1LbEgXPE8Pz0gMXXmd
33,Jo Basile,2LxI77Fuian6GUihQuhFfo,pop,track,En Ecoutant Mon Coeur Chanter (All Of A Sudden My Heart Sings),2000,3uxDtWNbEX9hUxsUCvFm4Z
34,Jo Basile,2LxI77Fuian6GUihQuhFfo,pop,track,Je T'Aime Encore Plus,2000,0l1VmlgGHZXYL0CR27ryRz
35,Guddu Rangila,1TUAuN17xq18iOslmb6yD0,pop,track,Ab Naahi Sutem Kinara,2000,4rs0A9RRJy6BPR1Mq1czcZ
36,Lindisfarne,4AgFg0hHythyklEs4t7XKt,pop,track,Shine On,2000,57eMvbS96z94E6KzRaEOEj
37,Marcos Sabino,58IUP01iHFXaIzQpQB2A6w,pop,track,Paz e Harmonia,2000,6A8Nhein0Z7Ug2Gfh08ox1
38,Ted Heath,4v8G8fM1P0Nrn9nZZW0ziT,pop,track,I Like To Recognise The Tune,2000,3WoVUGUsSc5hvpLQnyJqRa
39,Humera Arshad,2oSmrJthB9GUCiO6H9CFLn,pop,track,Sone Di Taveetri,2000,0NLj1BiXPjQ7fHhm3RBsyn
40,Andy de Witt,4HheGq4KLbjG8T2INCWyud,pop,track,Alle Sterren In De Nacht,2000,5QppX1Egvr5ZRF6RD8qq60
41,Mazā Ģilde,1JnTjsu5uAODhEBmIqHEZI,pop,track,Pidriķis,2000,1MwM81zKsUvSwjW9gnFR58
42,Atom TM,2a8NW6dE2Igxb6LQXDhdgL,pop,track,Calling Jesus,2000,5U9Yvak9aEWwh6VZ6KGGRA
43,Bằng Kiều,0KWdVd7ZYhtlm0CLHIFBya,pop,track,Ước Muốn,2000,6t5LGVqlay8QisiSR05F6E
44,Pete Rugolo,6NLW1QaFwxrhGeuBehGXUj,pop,track,Percussion At Work,2000,5NiI5iZjFkkEH8KXXOXA8z
45,Guddu Rangila,1TUAuN17xq18iOslmb6yD0,pop,track,Maja Mahal Ke Mile Khaihaani,2000,0a4HDGZhGaAK0XcrTOHCNy
46,Kumar Bapi,6kDyA8iVsfK74tQ23IVxEp,pop,track,Ki Chahani Chahin,2000,4Vtfgb9vD2KP1GmHh7hQ3m
47,His Name Is Alive,4LMQqMZYbFJgvxBOzshZVL,pop,track,Interlude,2000,7E49zxgSb7Fe7oekM5WPhH
48,Earl Bostic,3uPH2E6G8gBlatMzfQR4lL,pop,track,I'll String Along With You,2000,6BoI6v8vRP7czv04niAGGT
49,Bozo Vorotovic,3zYERb3VrpDdJJmuCkdQDx,pop,track,Siroče,2000,0lm1d1JfO4A5qgf0HSO7sj
50,Vaishali Samant,2zGP2SUtwsDhdyYzf0kKp8,pop,track,Maai Yashoda,2000,2NiszJTNe26iHu4e06DwX4
51,Sauter-Finegan Orchestra,0AYRx10oasRjBrIGSC7B2c,pop,track,The Honey Jump,2000,4x2ZBZRqnj2uJQGdZDtaze
52,Praful Dave,63AYSaBUnGDb7g4SA6i5WU,pop,track,Kekra Jaane,2000,5cSbN4Bm5kAlwIJmIYfNbv
53,Diddú,5tqcGCzAJeX4ysqiegDC37,pop,track,Fyrir ofan regnbogann,2000,2qm5IgHG4tyDUIfXHct5vU
54,Bjarni Arason,3vRSdvFnDzuye8bIFWQGFs,pop,track,Ég ann þér,2000,6AwNCGCVHrQZn69JwQRWqh
55,Ciranda Flor Matizada,0APFHsY2v8WVaNGZzUGim4,pop,track,O Artesão da História,2000,1xgng3vlmwK0zLz6gD0OCP
56,Sơn Tuyền,0RoUGjbZ9d63jXyUylDs1Q,pop,track,Mặt trời đen,2000,6yVwZWL7vVc0Brux5X8tdc
57,Alma Cogan,0oGo1uX2IixGBLb3fsiVnK,pop,track,I Can't Tell a Walt from a Tango,2000,7LMJX79hRjNI2pA1Qmb7mP
58,Zahouania,13sLlXcYUQJPSPMYIqa6wv,pop,track,Hbibi La La La,2000,439vKhWyuWW3WvnXmHnm6f
