,0
0,Kelly Mcguire
1,Los Rabanes
2,M.A. Numminen
3,Nei Van Soria
4,Kumma heppu & lopunajan voidellut
5,Boris Novković
6,Toto Blanke
7,Владимир Высоцкий
8,The Killdares
9,Randy Kaplan
10,Txuma Murugarren
11,Audience
12,ZOEgirl
13,Rantés
14,El Caco
15,The Boys
16,George Jones
17,Tommy Steele
18,Gilad Kahana
19,Rhett Tyler & Early Warning
20,Moly
21,The Five Satins
22,Hatespeech
23,Aziatic
24,GOING UNDER GROUND
25,Greylevel
26,Jan & Dean
27,Remorse
28,Tequila Baby
29,Jiri Schmitzer
30,Skeleton Key
31,The Great Luke Ski
32,Luís Represas
33,Morty Shann & The Morticians
34,Lizzie Borden & The Axes
35,Tagada Jones
36,Jets Under Fire
37,Riesgo de Contagio
38,Os Replicantes
39,Mickey Gilley
40,More Machine Than Man
41,Bob Karwin
42,Cymbelin
43,Kirka
44,Curved Air
45,Dave Barker
46,Lew Jetton & 61 South
47,Fes-te Fotre
48,Ookla The Mok
49,Kemopetrol
50,Atheist Rap
51,Credo
52,Marty Wilde
53,Keith Emerson
54,Giorgio Gaber
55,Miquel Pujadó
56,Ho-Hum
57,Carbona
58,Björgvin Halldórsson
59,Sam Sam
60,Tennessee
61,Repe
62,John Wetton
63,Johnny Clarke
64,The Laurie Berkner Band
65,Txapelpunk
66,Limon Sutil
67,Biquini Cavadão
68,Duble Buble
69,Xabier Montoia
70,Mínus
71,Afroditi Manou
72,Dead Or American
73,Código Zero
74,Yami Bolo
75,YOSHIO
76,Quarkspace
77,Warren Smith
78,Aarktica
79,sleepy.ab
80,Crummy Stuff
81,Marco Antonio Muñiz
82,Doctor Explosion
83,Taxband
84,The Aviators
85,Valentino
86,Even
87,Wayne Faust
88,Los Muecas
89,El Aire
90,Karne Krua
91,Herrumbre
92,Ray Campi
93,Avalon
94,The Four Postmen
95,Rebecca St. James
96,The Cleftones
97,Bill Fadden & The Silvertone Flyers
98,Testeagles
99,Divlje Jagode
100,The Oak Ridge Boys
101,Rúnar Júlíusson
102,LZ
103,Stormy Mondays
104,Presser Gabor
105,HLH flokkurinn
106,Jet Boys
107,PREMIER
108,Such A Surge
109,Birth Control
110,Onar
111,The Ancient Gallery
112,Appliance
113,Narguilé Hidromecânico
114,The Violents
115,Epicure
116,Hayden Thompson
117,Vandal X
118,Lax'n'Busto
119,Zarama
120,Jan Cyrka
121,Karina
122,Bruce Roberts
123,Bo Gumbos
124,Regev Hod
125,Black Debbath
126,Carptree
127,The Fall
128,Kirlian
129,Chris Spedding
130,Thom Shepherd
131,Daeonia
132,Alberto Vazquez
133,Hasil Adkins & An Unknown Band
134,Sol D' Menta
135,Levente Szörényi
136,Barry Manilow
137,The Sleepy Jackson
138,The Upsetters
139,Virginia Lopez
140,Desmond Dekker
141,Melys
142,Amber Smith
143,Los Freddy's
144,Termites
145,Chewbacca's
146,7 Foot Jr.
147,need new body
148,I Lobello
149,Let Me Introduce You to the End
150,Leroy Smart
151,Marc Sway
152,Malalma
153,Dave Lindholm
154,The Golden Seals
155,Jesus Jones
156,Beatnik Turtle
157,Roy Orbison
158,Seven Steps to the Green Door
159,Midnight Configuration
160,Hateful Monday
161,Bikini
162,Megas
163,Cliff Richard & The Shadows
164,Wraygunn
165,Paul Mark & the Van Dorens
166,The Searchers
167,Árnyak
168,THE YELLOW MONKEY
169,Baraflokkurinn
170,Rebel Storm
171,Gualberto Castro
172,Maus
173,Ebiet G. Ade
174,Ramona Silver
175,Rod Stewart
176,Tenpel
177,Tall Tales & True
178,Andrés Calamaro
179,The Land Of Nod
180,Silly
181,goldenboy
182,Spahn Ranch
183,Meat For Dogs
184,Gabi Novak
185,Sons of Trout
186,Philippe Katerine
187,SABOTEN
188,Jóhann Helgason
189,Rip KC
190,Loren Davidson
191,Steven Curtis Chapman
192,Frank Ifield
193,Johnnie Ray
194,Corazones Muertos
195,Bienvenido Granda
196,Carola
197,The Residents
198,1910 Fruitgum Company
199,Chip Taylor
200,Hobbit
201,John Lee Hooker
202,麦田守望者
203,Emile Ford & The Checkmates
204,Johan Verminnen
205,Half Pint
206,Rão Kyao
207,Julie's Haircut
208,Bobby Darin
209,Juustopäät
210,Judy Collins
211,Whiteheart
212,Boo!
213,Ruxe Ruxe
214,big leaves
215,Dan Peek
216,Super Furry Animals
217,12twelve
218,Chris Knox
219,Stuðmenn
220,The Sounds
221,Juan Hernández y Su Banda de Blues
222,Delirium
223,Oskorri
224,Steevi Jaimz
225,Bernie Chiaravalle
226,Derrick Morgan
227,Rothko
228,Ad Frank
229,Henk Westbroek
230,Harmful
231,Hell On Wheels
232,Ken Boothe
233,Autour de Lucie
234,Danny De Munk
235,Nadine Sutherland
236,The Original Turtle Shell Band
237,throwcurve
238,Daniel Johnston
239,The Sensations
240,Arturo Meza
241,Bars
242,Roht
243,Зимовье Зверей
244,Hljómar
245,Marcio Mello
246,The Stringbeans
247,BACK DROP BOMB
248,Geraint Jarman
249,Margaret Becker
250,Juha Vainio
251,Hortense Ellis
252,Liz Buchanan
253,Lobith
254,"Phillips, Craig & Dean"
255,The Piranhas
256,The German Art Students
257,Ray Smith
258,Rob Balducci
259,The Jelly Bean Bandits
260,Vibracathedral Orchestra
261,The Satyrs
262,MQN
263,Henry Ate
264,The Harmonica Pocket
265,Get Hustle
266,ТЕЛЬНЮК: Сестри
267,Embryo
268,Matuto Moderno
269,Péricles Garcia
270,Bilge Pump
271,David T. Chastain
272,Novi Fosili
273,Freddy Cannon
274,Tommy Bolin
275,Brenda Lee
276,Zabrinski
277,The Red Telephone
278,WRONG SCALE
279,Mr. Billy
280,The Real Kids
281,Los Jockers
282,Выход
283,Eric Schwartz
284,The Diamonds
285,Litto Nebbia
286,МультFильмы
287,The Buckaroos
288,Kind Of Blue
289,Ra'ash
290,Тайм-Аут
291,Estrume'n'tal
292,Mikhail Krug
293,Rick Steffen
294,Marco Minnemann
