,Artist,Biography,Listeners,Playcount,Similar
0,Kelly Mcguire,"A long time resident of the Clear Lake, TX (Houston/NASA) area, McGuire is known for his original ‘gulf coast flavored’ songs ranging from country to calypso/tropical, folk and rock. His CD “Redfish Island” was just released in 2000 and contains a collection of songs he wrote inspired by his sailing experiences in the Bahamas, Florida Keys, Mexico and on the Texas Gulf coast.

Redfish Island was an island in Galveston Bay close to the ship channel and until the last hurricane washed it away <a href=""https://www.last.fm/music/Kelly+Mcguire"">Read more on Last.fm</a>",1625,13293,"(""Hanna's Reef"", 'Pirate Dreams', 'Bob Karwin', 'Howard Livingston & Mile Marker 24', 'Gene Mitchell')"
1,Los Rabanes,"Panamá wasn't a country known by its music in the world, until Los Rabanes appeared on the scene. Not only do they represent their country  in the music scene, but they do it with a fusion worthy of a country located in the center of the continent.
Genres as Reggae, Cumbia, Vallenato, Andina Music, Salsa, Merengue, are mixed with Rock and Ska in Rabanes' music, lyrics about Love, Politics and Fun are the Los Rabanes music subjects.
 <a href=""https://www.last.fm/music/Los+Rabanes"">Read more on Last.fm</a>",37084,317046,"('Los Caligaris', 'Panteón Rococó', 'Los Pericos', 'Los Estrambóticos', 'Salón Victoria')"
2,M.A. Numminen,"Mauri Antero Numminen (Somero, Finland, born March 12, 1940) has been one of the pioneers of Finnish avantgarde/underground & electronic music scene. 

In his early days Numminen often consciously tried to provoke people. Here he succeeded well, for example by his interpretations of Franz Schubert's lieds, sung with his own idiosyncratic singing voice, or managing to create a scandal at the Jyväskylän kesä festival of Jyväskylä in 1966 with his song lyrics taken from a sex guide. <a href=""https://www.last.fm/music/M.A.+Numminen"">Read more on Last.fm</a>",32574,602185,"('Suomen Talvisota 1939-1940', 'Kauko Röyhkä', 'Kari Peitsamo', 'Mikko Alatalo', 'Pekka Streng')"
3,Nei Van Soria," <a href=""https://www.last.fm/music/Nei+Van+Soria"">Read more on Last.fm</a>",3644,66442,"('Garotos da Rua', 'Nei Van Sória', 'Bandaliera', 'Cowboys Espirituais', 'Acústicos & Valvulados')"
4,Kumma Heppu & Lopunajan Voidellut,"kumma heppu & lopunajan voidellut is a Finnish new wave / folk rock band originally from Kajaani, nowadays from Tampere.
Band has released seven albums and six singles. The latest album ""japaniin"" was released on November 5th 2008 by Rockadillo  (ZENCD2124) . The title song ""japaniin"" is available for listening in the Albums section. Bands first album from -81 called ""kumma heppu ja lopunajan voidellut"" (JHN 2046) was finally released on cd format (JHNCD 2046) on spring 2010.

Official Homepage <a href=""https://www.last.fm/music/Kumma+Heppu+&+Lopunajan+Voidellut"">Read more on Last.fm</a>",1803,35233,"('Woude', 'Veltto Virtanen', 'Kotka Rankki Ohutta Yläpilveä', 'Noitalinna Huraa!', 'Pöllöt')"
5,Boris Novković,"Boris Novković was born December 25, 1967. in Sarajevo. He grew up in a family where both of his parents were involved in music. His father Đorđe Novkovic is one of the most important authors in the croatian pop music and his mother Ozana is a music teacher.
He received the mandatory school education and was training soccer. He was a member of the Junior soccer club Dinamo from the age of 12 until the age of 15.

   He recorded his first album ""Kuda idu izgubljene djevojke"" in 1986. <a href=""https://www.last.fm/music/+noredirect/Boris+Novkovi%C4%87"">Read more on Last.fm</a>",16651,201866,"('ITD Band', 'Parni Valjak', 'Prljavo Kazalište', 'Novi Fosili', 'Neki to vole vruće')"
6,Toto Blanke,"""Music is the expression of the time we live in: the expression of noise, hectic, aggression but also of beauty and love?"" This is what the guitar-player and composer Toto Blanke says about his music which he tries to realize with different groups like ""Electric Circus"" or the guitar-duo ""Duel for two guitars."" In 1970 Toto decided to give up his profession as a graduate in architecture in favour of only working as a professional musician. With his first group, ""Association P. <a href=""https://www.last.fm/music/Toto+Blanke"">Read more on Last.fm</a>",1013,6732,"('Missus Beastly', 'Association P.C.', ""Toto Blanke's Electric Circus"", 'Thirsty Moon', 'Dzyan')"
7,Владимир Высоцкий,"Vladimir Semeonovich Vysotsky (Artist: Владимир Высоцкий or Vladimir Vysotsky) (1938-1980) was a Soviet singer-songwriter, as well as a theatre and movie actor. With his song lyrics, often humorous, often melancholic, and his harsh, passionate voice Vysotsky gained wide popularity despite his criticism of the Soviet government, which considered him a dissident. By the mid-1970s, Vysotsky had been suffering from alcoholism for quite some time. <a href=""https://www.last.fm/music/+noredirect/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80+%D0%92%D1%8B%D1%81%D0%BE%D1%86%D0%BA%D0%B8%D0%B9"">Read more on Last.fm</a>",141047,6839428,"('Александр Розенбаум', 'Юрий Визбор', 'Игорь Растеряев', 'Булат Окуджава', 'Любэ')"
8,The Killdares,"Originally formed in 1996, The Killdares have come to be known as one of the hottest, cutting edge bands in music today - Celtic or otherwise. The Killdares have created a fresh new sound that's blended with enough commercial edge to be instantly recognizable, always engaging, and appealing to fans of all ages. Their live shows are filled with an infectious energy so powerful that it has been known to move people to tears. Expanding the definition of ""Celtic"" <a href=""https://www.last.fm/music/The+Killdares"">Read more on Last.fm</a>",1212,34652,"('Seven Nations', 'Enter The Haggis', 'Scotland Rising', 'The Rogues', ""Finn's Fury"")"
9,Randy Kaplan,"In his songs for children and their families, Randy Kaplan blends American Roots, Country Blues, and Comedic Storytelling. He finger-picks and strums his way through unpredictable live shows which, in addition to his original compositions, include Tin Pan Alley gems, Broadway numbers, and Delta Blues songs. “He doesn’t dumb it down for the kids… He just expects them to come along for the ride. And they do” (TIME OUT NEW YORK KIDS). As indebted to Maurice Sendak and Ogden Nash as he is to Woody Guthrie and Dave Van Ronk <a href=""https://www.last.fm/music/Randy+Kaplan"">Read more on Last.fm</a>",4641,23708,"('The Hipwaders', 'Buck Howdy', 'Roy Justice', 'Frances England', 'Jumpitz')"
10,Txuma Murugarren,"After years as leader, composer and singer in the Basque rock band from Bizkaia Sasoi Ilunak, he started his solo career with an acoustic album of raw songs called “Nere leihoak”. He has now brought out his second work, “Hegazkinen arima” (Spirit of planes), a disc that is electric and rock at the same time and opens up wider possibilities. He has brought a group of quality musicians together around him under Rafa Rueda, achieving a modern rock. <a href=""https://www.last.fm/music/Txuma+Murugarren"">Read more on Last.fm</a>",1312,7201,"('Rafa Rueda', 'Anje Duhalde', 'Etzakit', 'Ruper Ordorika', 'Xabier Lete')"
11,Audience,"There are three bands called Audience:
 - a progressive English rock band formed in 1969
- a spanish indie-rock band
- An ambient/electronic band out of St. Louis

1) Audience is a cult British art-rock band which existed between 1969 and 1972, and reformed in 2004. Members: Howard Werth (guitar, vocals), Trevor Williams (bass, vocals), Keith Gemmell (sax, clarinet, flute, 1969-72, 2005-present), Tony Connor (percussion, vibes, vocals, 1969-72), Patrick Neubergh (sax, 1972), Nick Judd (keyboards, 1972), John Fisher (drums, 2005-present) <a href=""https://www.last.fm/music/Audience"">Read more on Last.fm</a>",22708,197931,"('Jade Warrior', 'Fruupp', 'Curved Air', 'Caravan', 'Van der Graaf Generator')"
12,ZOEgirl,"ZOEgirl was a very successful Christian pop rock band from 2000-2006.
The group was started with the three ladies: Alisa Noelle Girard, Chrissy Conway and Kristin Swinford. The three have each gotten married since then and go by the following names: Alisa Childers, Kristin Schweain, Chrissy Conway-Katina.

 With more than 1 million albums sold worldwide and an impressive track record that heralds them as the fastest-selling debut artist in the 26-year history of Sparrow Records <a href=""https://www.last.fm/music/ZOEgirl"">Read more on Last.fm</a>",43308,404259,"('Out Of Eden', 'Jessie Daniels', '4HIM', 'True Vibe', 'Mark Schultz')"
13,Rantés," <a href=""https://www.last.fm/music/Rant%C3%A9s"">Read more on Last.fm</a>",55,419,"('Dr. Jet', '4D4U', 'Pateando al Perro', 'Mammut (Oficial)', 'A pie')"
