,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
0,Raimon,53gngrNkCMQim2Fg4qbHZm,rock,track,T'he Conegut Sempre Igual,2000,2DcZQZM2vA0rWEpKFTcwQs
1,Oskorri,4gmiT7yNuaHkQIAVTXPGwP,rock,track,Amak Ezkondu Ninduen,2000,6sR4FSzbMlKtZrNELf6sX2
2,Fes-te Fotre,4Q0BMNWCvEflRzdVjkhWAz,rock,track,Torno a Ser Jo,2000,66VqLrzrkAF04aIFe4OjHf
3,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,rock,track,Jugar con fuego,2000,2Y4AW6LTpQSEpgo01uKpg6
4,Raimon,53gngrNkCMQim2Fg4qbHZm,rock,track,"D'un Temps, D'un País",2000,06qNwpyQxsIA11mk8AOJTB
5,Lax'n'Busto,7Ix9GNTGIUIFBpPC6K0QeP,rock,track,Pero Mai Tu,2000,0fbyOCf5Hn0pPML3OCtuiX
6,Bars,5xS5pl0rriQf5ktTd8a3Ms,rock,track,Tu T'ho Has Buscat,2000,2p3u4dnaQTvmlDU4XZpubh
7,Bide Ertzean,13XN1Eo37ZDZEvA8p9tUjc,rock,track,Lilian,2000,0jl8fu8nnH23dSP4qwF37O
8,Raimon,53gngrNkCMQim2Fg4qbHZm,rock,track,Parlant-me de Tu,2000,624MeTbPYd7GiIIjst0raA
9,"Quico El Célio, El Noi I El Mut De Ferreries",5LOckPuG4JKRzJfJoYZT2w,rock,track,Pepeta La Paisana,2000,1qxk9A4df8OpyllLHmYLyQ
10,Joan Isaac,4PbDUsKSSA1e5F1bPG8UqG,rock,track,Il Momento per Lei,2000,4KLEUWf9Sm7p1KdV2pGqc9
11,Ruxe Ruxe,1YFrhov5H4KBd13rWQvzpe,rock,track,Land Rover,2000,7rsStQ4kREV4AyZrdspd8a
12,Riesgo de Contagio,5xwNWlB2SB0yzaAQOgcysm,rock,track,Un Nuevo Juguete - En Vivo,2000,6twe1C7mVYfpeKj24Ct4C6
13,Roht,1qS4q6hUwjs1e9Il1ZddSy,rock,track,A Song For The Rock Critic,2000,3ZJXE56oCbkWzeITvajjSR
14,Tommy Bolin,5FCC6oo9PupahFuLGEPdMB,rock,track,I Fell in Love - Live,2000,56LLKgCQMZdzDjC1Sx6wn5
15,Bikini,5hLLs4nJdYwC3187Zv6HkI,rock,track,"Egy korsó, egy pohár (remix)",2000,17IH2n9W3Rsb2VUebreegd
16,ТЕЛЬНЮК: Сестри,5CtVT8EwE2Ne1WmGRHVqXF,rock,track,Скрипка - Live,2000,31psXRFumgnCT5g0CFvBzI
17,Gerardo Enciso,2GC07re8rpzd4pGQpmt1uL,rock,track,Tarará,2000,1rhyS3utrgrWG19yadPGEW
18,Емил Димитров,2fyX3KN0QchIB4mRmwKbzn,rock,track,"Сбогом, Мария",2000,4lPc3fes9pmJLGzey2BKkF
19,Joanie Leeds,4KOQZQuOdq1Zllyn7Nr4hK,rock,track,Miami,2000,49EDfGtHtfInSG07BLed0T
